구분,행정구역코드,1단계,2단계,3단계,격자 X,격자 Y,경도(시),경도(분),경도(초),위도(시),위도(분),위도(초),경도(초/100),위도(초/100),위치업데이트,,,
kor,1121581000,서울특별시,광진구,광장동,62,126,127,6,19.11,37,32,39.17,127.105308333333,37.5442138888888,,,,
kor,1121582000,서울특별시,광진구,자양제1동,62,126,127,5,3.91,37,31,54.07,127.084419444444,37.5316861111111,,,,
kor,1121583000,서울특별시,광진구,자양제2동,62,126,127,5,11.76,37,31,33.6,127.086599999999,37.5259999999999,,,,
kor,1121584000,서울특별시,광진구,자양제3동,61,126,127,4,30.11,37,31,51.72,127.075030555555,37.5310333333333,,,,
kor,1121584700,서울특별시,광진구,자양제4동,61,126,127,4,2.11,37,32,14.95,127.067252777777,37.5374861111111,,,,
kor,1121585000,서울특별시,광진구,구의제1동,62,126,127,5,16.32,37,32,22.83,127.087866666666,37.5396749999999,,,,
kor,1121586000,서울특별시,광진구,구의제2동,62,126,127,5,31.59,37,32,39.98,127.092108333333,37.5444388888888,,,,
kor,1121587000,서울특별시,광진구,구의제3동,62,126,127,5,58.88,37,32,10.1,127.099688888888,37.5361388888888,,,,
kor,1123000000,서울특별시,동대문구,,61,127,127,2,31.71,37,34,17.85,127.042141666666,37.571625,,,,
kor,1123053600,서울특별시,동대문구,용신동,61,127,127,2,13.98,37,34,32.95,127.0372169,37.5758185,20150908,,,
kor,1123054500,서울특별시,동대문구,제기동,61,127,127,2,16.02,37,34,59.08,127.0377843,37.5830767,20150908,,,
kor,1123056000,서울특별시,동대문구,전농제1동,61,127,127,2,59.52,37,34,30.76,127.049866666666,37.5752111111111,,,,
kor,1123057000,서울특별시,동대문구,전농제2동,61,127,127,3,13.91,37,34,54.13,127.053863888888,37.5817027777777,,,,
kor,1123060000,서울특별시,동대문구,답십리제1동,61,127,127,3,15.2,37,34,9.39,127.054222222222,37.569275,,,,
kor,1123061000,서울특별시,동대문구,답십리제2동,61,127,127,3,41.67,37,34,8.95,127.061574999999,37.5691527777777,,,,
kor,1123065000,서울특별시,동대문구,장안제1동,61,127,127,4,6.52,37,33,53.95,127.068477777777,37.5649861111111,,,,
kor,1123066000,서울특별시,동대문구,장안제2동,61,127,127,4,31.11,37,34,6.27,127.075308333333,37.5684083333333,,,,
kor,1123070500,서울특별시,동대문구,청량리동,61,127,127,2,50.2,37,35,10.53,127.0472767,37.5862586,20150908,,,
kor,1123071000,서울특별시,동대문구,회기동,61,127,127,3,26.96,37,35,16.83,127.057488888888,37.5880083333333,,,,
kor,1123072000,서울특별시,동대문구,휘경제1동,61,127,127,4,4.15,37,35,24.57,127.067819444444,37.5901583333333,,,,
kor,1123073000,서울특별시,동대문구,휘경제2동,61,127,127,4,10.76,37,35,18.58,127.069655555555,37.5884944444444,,,,
kor,1123074000,서울특별시,동대문구,이문제1동,61,127,127,4,3.47,37,35,42.0,127.067630555555,37.595,,,,
kor,1123075000,서울특별시,동대문구,이문제2동,61,127,127,3,31.03,37,35,30.23,127.058619444444,37.5917305555555,,,,
kor,1126000000,서울특별시,중랑구,,62,128,127,5,41.2,37,36,13.7,127.094777777777,37.6038055555555,,,,
kor,1126052000,서울특별시,중랑구,면목제2동,62,127,127,4,52.08,37,35,13.14,127.081133333333,37.5869833333333,,,,
kor,1126054000,서울특별시,중랑구,면목제4동,62,127,127,5,15.44,37,34,18.54,127.087622222222,37.5718166666666,,,,
kor,1126055000,서울특별시,중랑구,면목제5동,62,127,127,4,54.2,37,34,58.97,127.081722222222,37.5830472222222,,,,
kor,1126056500,서울특별시,중랑구,면목본동,62,127,127,5,22.84,37,35,4.42,127.089677777777,37.5845611111111,,,,
kor,1126057000,서울특별시,중랑구,면목제7동,62,127,127,5,20.71,37,34,34.32,127.089086111111,37.5762,,,,
kor,1126057500,서울특별시,중랑구,면목제3.8동,62,127,127,5,24.79,37,34,48.85,127.090219444444,37.5802361111111,,,,
kor,1126058000,서울특별시,중랑구,상봉제1동,62,127,127,5,21.44,37,35,49.3,127.089288888888,37.5970277777777,,,,
kor,1126059000,서울특별시,중랑구,상봉제2동,62,127,127,5,7.4,37,35,22.6,127.085388888888,37.5896111111111,,,,
kor,1126060000,서울특별시,중랑구,중화제1동,62,127,127,4,58.0,37,35,54.19,127.082777777777,37.5983861111111,,,,
kor,1126061000,서울특별시,중랑구,중화제2동,62,127,127,4,37.28,37,35,31.98,127.077022222222,37.5922166666666,,,,
kor,1126062000,서울특별시,중랑구,묵제1동,62,128,127,4,50.11,37,36,34.64,127.080586111111,37.6096222222222,,,,
kor,1126063000,서울특별시,중랑구,묵제2동,62,128,127,4,41.32,37,36,24.47,127.078144444444,37.6067972222222,,,,
kor,1126065500,서울특별시,중랑구,망우본동,62,127,127,6,30.47,37,35,55.29,127.108463888888,37.5986916666666,,,,
kor,1126066000,서울특별시,중랑구,망우제3동,62,127,127,6,0.96,37,35,22.48,127.100266666666,37.5895777777777,,,,
kor,1126068000,서울특별시,중랑구,신내1동,62,128,127,6,5.59,37,36,11.1,127.101552777777,37.6030833333333,,,,
kor,1126069000,서울특별시,중랑구,신내2동,62,128,127,5,46.59,37,36,12.35,127.096274999999,37.6034305555555,,,,
kor,1129000000,서울특별시,성북구,,61,127,127,1,13.2,37,35,10.98,127.020333333333,37.5863833333333,,,,
kor,1129052500,서울특별시,성북구,성북동,60,127,127,0,21.91,37,35,14.79,127.006086111111,37.5874416666666,,,,
kor,1129055500,서울특별시,성북구,삼선동,60,127,127,0,34.4,37,34,58.25,127.009555555555,37.5828472222222,,,,
kor,1129057500,서울특별시,성북구,동선동,61,127,127,1,21.03,37,35,28.6,127.022508333333,37.5912777777777,,,,
kor,1129058000,서울특별시,성북구,돈암제1동,61,127,127,1,41.84,37,36,1.83,127.028288888888,37.6005083333333,,,,
kor,1129059000,서울특별시,성북구,돈암제2동,60,127,127,0,45.76,37,35,42.92,127.012711111111,37.5952555555555,,,,
kor,1129060000,서울특별시,성북구,안암동,61,127,127,1,24.52,37,34,59.01,127.023477777777,37.5830583333333,,,,
kor,1129061000,서울특별시,성북구,보문동,61,127,127,1,29.64,37,34,39.32,127.0249,37.5775888888888,,,,
kor,1129062000,서울특별시,성북구,정릉제1동,60,127,127,1,7.47,37,35,55.11,127.018741666666,37.5986416666666,,,,
kor,1129063000,서울특별시,성북구,정릉제2동,60,127,127,0,47.67,37,36,6.0,127.013241666666,37.6016666666666,,,,
kor,1129064000,서울특별시,성북구,정릉제3동,60,128,127,0,22.64,37,36,22.2,127.006288888888,37.6061666666666,,,,
kor,1129065000,서울특별시,성북구,정릉제4동,60,128,127,0,29.55,37,36,38.83,127.008208333333,37.6107861111111,,,,
kor,1129066000,서울특별시,성북구,길음제1동,61,127,127,1,27.0,37,36,6.42,127.024166666666,37.6017833333333,,,,
kor,1129068500,서울특별시,성북구,길음제2동,61,128,127,1,45.84,37,36,13.86,127.0294,37.60385,,,,
kor,1129070500,서울특별시,성북구,종암동,61,127,127,2,0.79,37,35,50.39,127.033552777777,37.5973305555555,,,,
kor,1129071500,서울특별시,성북구,월곡제1동,61,128,127,2,10.11,37,36,15.13,127.036141666666,37.6042027777777,,,,
kor,1129072500,서울특별시,성북구,월곡제2동,61,127,127,2,30.08,37,35,59.79,127.041688888888,37.5999416666666,,,,
kor,1129076000,서울특별시,성북구,장위제1동,61,128,127,2,45.08,37,36,40.29,127.045855555555,37.6111916666666,,,,
kor,1129077000,서울특별시,성북구,장위제2동,61,128,127,3,24.15,37,36,34.79,127.056708333333,37.6096638888888,,,,
kor,1129078000,서울특별시,성북구,장위제3동,61,128,127,3,31.4,37,36,49.58,127.058722222222,37.6137722222222,,,,
kor,1129081000,서울특별시,성북구,석관동,61,128,127,3,48.67,37,36,36.58,127.063519444444,37.6101611111111,,,,
kor,1130500000,서울특별시,강북구,,61,128,127,1,39.79,37,38,13.04,127.027719444444,37.6369555555555,,,,
kor,1130553400,서울특별시,강북구,삼양동,61,128,127,1,13.84,37,37,28.14,127.020511111111,37.6244833333333,,,,
kor,1130553500,서울특별시,강북구,미아동,61,128,127,1,44.47,37,37,26.89,127.029019444444,37.6241361111111,,,,
kor,1130554500,서울특별시,강북구,송중동,61,128,127,2,9.0,37,36,48.1,127.035833333333,37.6133611111111,,,,
kor,1130555500,서울특별시,강북구,송천동,61,128,127,1,33.44,37,36,55.86,127.025955555555,37.6155166666666,,,,
kor,1130557500,서울특별시,강북구,삼각산동,61,128,127,1,11.47,37,36,51.95,127.019852777777,37.6144305555555,,,,
kor,1130559500,서울특별시,강북구,번1동,61,128,127,1,51.67,37,38,6.57,127.031019444444,37.6351583333333,20190115,,,
kor,1130560300,서울특별시,강북구,번2동,61,128,127,2,27.4,37,37,45.79,127.040944444444,37.6293861111111,20190115,,,
kor,1130560800,서울특별시,강북구,번3동,61,128,127,2,55.28,37,37,23.14,127.048688888888,37.6230944444444,20190115,,,
kor,1130561500,서울특별시,강북구,수유1동,60,128,127,1,9.47,37,37,50.64,127.019297222222,37.6307333333333,20190115,,,
kor,1130562500,서울특별시,강북구,수유2동,61,128,127,1,19.35,37,38,30.77,127.022041666666,37.6418805555555,20190115,,,
kor,1130563500,서울특별시,강북구,수유3동,61,128,127,1,31.15,37,38,9.5,127.025319444444,37.6359722222222,20190115,,,
kor,1130564500,서울특별시,강북구,우이동,60,128,127,0,50.64,37,38,42.7,127.014066666666,37.6451944444444,,,,
kor,1130566000,서울특별시,강북구,인수동,60,128,127,0,45.96,37,38,19.44,127.012766666666,37.6387333333333,,,,
kor,1132000000,서울특별시,도봉구,,61,129,127,2,58.28,37,39,57.0,127.049522222222,37.6658333333333,,,,
kor,1132051100,서울특별시,도봉구,창제1동,61,128,127,2,45.59,37,38,44.33,127.045997222222,37.6456472222222,,,,
kor,1132051200,서울특별시,도봉구,창제2동,61,128,127,2,15.96,37,38,19.42,127.037766666666,37.6387277777777,,,,
kor,1132051300,서울특별시,도봉구,창제3동,61,128,127,2,42.03,37,38,6.97,127.045008333333,37.6352694444444,,,,
kor,1132051400,서울특별시,도봉구,창제4동,61,129,127,3,13.2,37,38,57.83,127.053666666666,37.6493972222222,,,,
kor,1132051500,서울특별시,도봉구,창제5동,61,129,127,2,28.67,37,38,57.17,127.041297222222,37.6492138888888,,,,
kor,1132052100,서울특별시,도봉구,도봉제1동,61,129,127,2,43.84,37,40,32.95,127.045511111111,37.6758194444444,,,,
kor,1132052200,서울특별시,도봉구,도봉제2동,61,129,127,2,55.35,37,40,1.2,127.048708333333,37.6669999999999,,,,
kor,1132066000,서울특별시,도봉구,쌍문제1동,61,128,127,1,41.44,37,38,42.89,127.028177777777,37.6452472222222,,,,
kor,1132067000,서울특별시,도봉구,쌍문제2동,61,129,127,2,27.28,37,39,18.29,127.040911111111,37.6550805555555,,,,
kor,1132068000,서울특별시,도봉구,쌍문제3동,61,128,127,1,48.32,37,38,46.3,127.030088888888,37.6461944444444,,,,
kor,1132068100,서울특별시,도봉구,쌍문제4동,61,129,127,1,49.96,37,39,13.05,127.030544444444,37.653625,,,,
kor,1132069000,서울특별시,도봉구,방학제1동,61,129,127,2,33.96,37,39,41.16,127.042766666666,37.6614333333333,,,,
kor,1132070000,서울특별시,도봉구,방학제2동,61,129,127,2,14.0,37,39,55.57,127.037222222222,37.6654361111111,,,,
kor,1132071000,서울특별시,도봉구,방학제3동,61,129,127,1,48.28,37,39,22.42,127.030077777777,37.6562277777777,,,,
kor,1135000000,서울특별시,노원구,,61,129,127,3,30.2,37,39,5.26,127.058388888888,37.6514611111111,,,,
kor,1135056000,서울특별시,노원구,월계1동,61,128,127,3,54.32,37,37,2.35,127.065088888888,37.6173194444444,,,,
kor,1135057000,서울특별시,노원구,월계2동,61,128,127,3,10.79,37,37,47.14,127.052997222222,37.6297611111111,,,,
kor,1135058000,서울특별시,노원구,월계3동,61,128,127,4,16.79,37,37,5.54,127.071330555555,37.6182055555555,,,,
kor,1135059500,서울특별시,노원구,공릉1동,61,128,127,4,25.51,37,37,29.02,127.0737518,37.62472748,20140319,,,
kor,1135060000,서울특별시,노원구,공릉2동,62,128,127,5,7.59,37,37,6.85,127.085441666666,37.6185694444444,,,,
kor,1135061100,서울특별시,노원구,하계1동,61,128,127,4,29.03,37,38,16.02,127.074730555555,37.6377833333333,,,,
kor,1135061200,서울특별시,노원구,하계2동,61,128,127,4,12.4,37,37,45.3,127.070111111111,37.62925,,,,
kor,1135061900,서울특별시,노원구,중계본동,62,128,127,4,56.84,37,38,42.26,127.082455555555,37.6450722222222,,,,
kor,1135062100,서울특별시,노원구,중계1동,62,129,127,4,46.79,37,38,59.23,127.079663888888,37.6497861111111,,,,
kor,1135062400,서울특별시,노원구,중계4동,62,129,127,4,48.32,37,39,21.48,127.080088888888,37.6559666666666,,,,
kor,1135062500,서울특별시,노원구,중계2.3동,61,128,127,4,7.37,37,38,31.86,127.0687126,37.6421829,20150908,,,
kor,1135063000,서울특별시,노원구,상계1동,61,129,127,3,25.96,37,40,37.57,127.057211111111,37.6771027777777,,,,
kor,1135064000,서울특별시,노원구,상계2동,61,129,127,4,14.55,37,39,21.51,127.070708333333,37.655975,,,,
kor,1135066500,서울특별시,노원구,상계3.4동,61,129,127,4,38.88,37,39,39.6,127.077466666666,37.661,,,,
kor,1135067000,서울특별시,노원구,상계5동,61,129,127,4,17.35,37,39,36.79,127.071486111111,37.6602194444444,,,,
kor,1135069500,서울특별시,노원구,상계6.7동,61,129,127,4,8.64,37,39,7.52,127.069066666666,37.6520888888888,,,,
kor,1135070000,서울특별시,노원구,상계8동,61,129,127,3,13.2,37,39,50.2,127.053666666666,37.6639444444444,,,,
kor,1135071000,서울특별시,노원구,상계9동,61,129,127,3,57.44,37,39,42.16,127.065955555555,37.6617111111111,,,,
kor,1135072000,서울특별시,노원구,상계10동,61,129,127,3,44.52,37,39,30.36,127.062366666666,37.6584333333333,,,,
kor,1138000000,서울특별시,은평구,,59,127,126,55,52.47,37,35,59.89,126.931241666666,37.5999694444444,,,,
kor,1138051000,서울특별시,은평구,녹번동,59,127,126,56,12.64,37,35,59.86,126.936844444444,37.5999611111111,,,,
kor,1138052000,서울특별시,은평구,불광제1동,59,128,126,56,3.08,37,36,27.13,126.934188888888,37.6075361111111,,,,
kor,1138053000,서울특별시,은평구,불광제2동,59,128,126,55,47.35,37,37,7.66,126.929819444444,37.6187944444444,,,,
kor,1138055100,서울특별시,은평구,갈현제1동,59,128,126,55,7.64,37,37,15.23,126.918788888888,37.6208972222222,,,,
kor,1138055200,서울특별시,은평구,갈현제2동,59,128,126,55,4.4,37,36,56.76,126.917888888888,37.6157666666666,,,,
kor,1138056000,서울특별시,은평구,구산동,59,128,126,54,45.0,37,36,32.47,126.9125,37.6090194444444,,,,
kor,1138057000,서울특별시,은평구,대조동,59,128,126,55,22.4,37,36,40.82,126.922888888888,37.6113388888888,,,,
kor,1138058000,서울특별시,은평구,응암제1동,59,127,126,55,43.91,37,35,52.48,126.928863888888,37.5979111111111,,,,
kor,1138059000,서울특별시,은평구,응암제2동,59,127,126,55,30.47,37,35,30.54,126.925130555555,37.5918166666666,,,,
kor,1138060000,서울특별시,은평구,응암제3동,59,127,126,55,4.23,37,35,21.79,126.917841666666,37.5893861111111,,,,
kor,1138062500,서울특별시,은평구,역촌동,59,127,126,55,2.2,37,36,5.83,126.917277777777,37.6016194444444,,,,
kor,1138063100,서울특별시,은평구,신사제1동,59,127,126,54,51.79,37,35,42.79,126.914386111111,37.5952194444444,,,,
kor,1138063200,서울특별시,은평구,신사제2동,59,127,126,54,53.4,37,35,21.6,126.914833333333,37.5893333333333,,,,
kor,1138064000,서울특별시,은평구,증산동,59,127,126,54,33.2,37,34,53.51,126.909222222222,37.5815305555555,,,,
kor,1138065000,서울특별시,은평구,수색동,58,127,126,53,58.71,37,34,52.89,126.899641666666,37.5813583333333,,,,
kor,1138069000,서울특별시,은평구,진관동,59,128,126,55,16.0,37,38,8.16,126.921111111111,37.6356,,,,
kor,1141000000,서울특별시,서대문구,,59,127,126,56,20.03,37,34,34.92,126.938897222222,37.5763666666666,,,,
kor,1141052000,서울특별시,서대문구,천연동,60,127,126,57,40.23,37,34,5.89,126.961175,37.5683027777777,,,,
kor,1141055500,서울특별시,서대문구,북아현동,59,126,126,57,32.08,37,33,24.73,126.958911111111,37.5568694444444,,,,
kor,1141056500,서울특별시,서대문구,충현동,59,127,126,57,24.64,37,33,43.42,126.956844444444,37.5620611111111,,,,
kor,1141058500,서울특별시,서대문구,신촌동,59,126,126,56,44.11,37,33,24.26,126.945586111111,37.5567388888888,,,,
kor,1141061500,서울특별시,서대문구,연희동,59,127,126,56,14.47,37,34,16.04,126.937352777777,37.5711222222222,,,,
kor,1141062000,서울특별시,서대문구,홍제제1동,59,127,126,56,49.15,37,35,5.64,126.946986111111,37.5849,,,,
kor,1141064000,서울특별시,서대문구,홍제제3동,59,127,126,57,4.2,37,35,32.8,126.951166666666,37.5924444444444,,,,
kor,1141065500,서울특별시,서대문구,홍제제2동,59,127,126,57,5.28,37,35,0.02,126.951466666666,37.5833388888888,,,,
kor,1141066000,서울특별시,서대문구,홍은제1동,59,127,126,56,45.44,37,35,25.55,126.945955555555,37.5904305555555,,,,
kor,1141068500,서울특별시,서대문구,홍은제2동,59,127,126,56,18.55,37,34,48.57,126.938486111111,37.5801583333333,,,,
kor,1141069000,서울특별시,서대문구,남가좌제1동,59,127,126,54,56.08,37,34,16.3,126.915577777777,37.5711944444444,,,,
kor,1141070000,서울특별시,서대문구,남가좌제2동,59,127,126,55,33.28,37,34,32.26,126.925911111111,37.5756277777777,,,,
kor,1141071000,서울특별시,서대문구,북가좌제1동,59,127,126,54,32.32,37,34,36.16,126.908977777777,37.5767111111111,,,,
kor,1141072000,서울특별시,서대문구,북가좌제2동,59,127,126,54,47.59,37,34,42.97,126.913219444444,37.5786027777777,,,,
kor,1144000000,서울특별시,마포구,,59,127,126,54,37.91,37,33,38.54,126.910530555555,37.5607055555555,,,,
kor,1144055500,서울특별시,마포구,아현동,59,126,126,57,15.2,37,32,39.64,126.954222222222,37.5443444444444,,,,
